가입번호,이름,연락처,지역,유입경로,가입일,첫결제금액
1,윤서준,010-5557-1106,경기도,지인추천,2025-06-23,19800
2,이서연,010-4527-6514,대구,네이버검색,2025-06-03,
3,송수아,,대구,네이버검색,2025-06-18,9900
4,황채원,010-5803-6925,서울,인스타그램,2025-06-23,29700
5,권민준,010-5741-2307,서울,유튜브,2025-06-28,
6,정도윤,,서울,네이버검색,2025-06-12,19800
7,백서윤,010-2169-3803,경기도,유튜브,2025-06-06,49500
8,최예은,010-4598-6313,대구,네이버검색,2025-06-08,49500
9,문하준,,서울,카카오톡,2025-06-07,9900
10,변준영,,대전,카카오톡,2025-06-05,49500
11,천보검,,경기도,유튜브,2025-06-08,29700
12,박지후,010-2796-3504,경기도,인스타그램,2025-06-26,0
13,전우진,,대전,오프라인,2025-06-17,0
14,신아윤,,부산,유튜브,2025-06-25,49500
15,피현우,,대전,인스타그램,2025-06-01,9900
16,김민서,,대전,오프라인,2025-06-27,
17,유지호,010-3646-9837,대전,지인추천,2025-06-20,9900
18,조유나,010-6947-6038,부산시,인스타그램,2025-06-02,0
19,하늘별,010-8962-2133,경기,인스타그램,2025-06-05,49500
20,안도현,,대전,오프라인,2025-06-07,
21,고은서,,인천,유튜브,2025-06-17,9900
22,장하린,010-2049-6539,대구,지인추천,2025-06-19,
3,송수아,,대구,네이버검색,2025-06-18,9900
10,변준영,,대전,카카오톡,2025-06-05,49500
